tweet,date,query,replies,reposts,likes,bookmarks,views
focus on violence. gun violence is a political call clown :clown_face:,2022-05-23 02:10:05,gun violence,0,0,0,0,0
chris rock / will smith johnny depp / amber heard celebrity worship & fascination > 10 human beings who lost their lives to racism & gun violence.,2022-05-23 02:05:16,gun violence,0,0,1,1,0
it is definitely not as bad as the us. no gun violence in canada.,2022-05-23 02:04:07,gun violence,0,0,0,0,0
"tourists pack millennium park despite two shooting incidents, react to chicagos gun violence problem via @wbbmnewsradio",2022-05-23 02:03:51,gun violence,0,0,0,0,0
"candlelight vigil for buffalo set for 6 tonight at true vine missionary baptist church, 353 rich st., with sen. rachel may; the rev. curtis scrivens; helen hudson, president of syracuse common council, and clifford ryan, ogs against gun violence",2022-05-23 02:03:46,gun violence,0,0,0,0,0
you cant be this out of touch with reality to know about the harsh consequences of gun violence worldwide and youre saying youre european like that makes it any better. this is your 3rd time being a freak please do us a favor and delete your profile,2022-05-23 02:03:11,gun violence,0,0,7,0,0
"im a responsible gun owner, and the rs here in nebraska tried passing a so called constitutional carry law last session, i am so thankful they didnt. makes no sense when the poorest neighborhood has the most gun violence, almost nightly.:enraged_face:",2022-05-23 02:02:08,gun violence,0,0,3,0,0
graduations marred by shootings sign of continuing gun violence in america,2022-05-23 02:01:21,gun violence,0,0,0,0,0
"we send our condolences to the families affected by gun violence. our city deserves to feel safe in all communities, and we are aware that things need to change for more safety.",2022-05-23 02:00:00,gun violence,0,0,0,0,0
how many fathers gonna get taken away due to gun violence??? long live my baby daddy!!:folded_hands_medium_skin_tone::speaking_head::broken_heart:,2022-05-23 01:57:47,gun violence,0,0,3,0,0
you passed bail reformwhich made crime sky rocket. if you truly want to end the gun violence you would push for stop & frisk.,2022-05-23 01:57:45,gun violence,0,2,2,0,0
"the problem is framing it as gun violence. as if the gun is the problem. a psycho runs people down with a vehicle in a parade, and strangely no one was talking about car violence. in japan a psycho burns a building down, killing people and no one talks about fire violence.",2022-05-23 01:54:45,gun violence,1,0,8,0,0
